2026-01-09 10:03:30,127 - INFO - Gradient Accumulation Steps: 1
2026-01-09 10:03:30,127 - INFO - Micro Batch Size: 16
2026-01-09 10:03:30,128 - INFO - Target Train Batch Size (per GPU): 16
2026-01-09 10:03:30,143 - INFO - epoch:0 start
2026-01-09 10:48:27,188 - INFO - train loss:4.5978, step:2860
2026-01-09 10:48:34,449 - INFO - train loss:4.5017, step:2870
2026-01-09 10:48:41,703 - INFO - train loss:4.5658, step:2880
2026-01-09 10:48:48,955 - INFO - train loss:4.6269, step:2890
2026-01-09 10:48:56,205 - INFO - train loss:4.5644, step:2900
2026-01-09 10:49:03,455 - INFO - train loss:4.5956, step:2910
2026-01-09 10:49:10,715 - INFO - train loss:4.5508, step:2920
2026-01-09 10:49:17,977 - INFO - train loss:4.6089, step:2930
2026-01-09 10:49:25,249 - INFO - train loss:4.5926, step:2940
2026-01-09 10:49:32,528 - INFO - train loss:4.5192, step:2950
2026-01-09 10:49:39,813 - INFO - train loss:4.4115, step:2960
2026-01-09 10:49:47,078 - INFO - train loss:4.6376, step:2970
2026-01-09 10:49:54,329 - INFO - train loss:4.4282, step:2980
2026-01-09 10:50:01,578 - INFO - train loss:4.5923, step:2990
2026-01-09 10:50:41,997 - INFO - step:3000, val_loss: 4.5420
2026-01-09 10:50:42,730 - INFO - train loss:4.6896, step:3000
2026-01-09 10:50:56,055 - INFO - train loss:4.5276, step:3010
2026-01-09 10:51:03,296 - INFO - train loss:4.4785, step:3020
2026-01-09 10:51:10,551 - INFO - train loss:4.4648, step:3030
2026-01-09 10:51:17,797 - INFO - train loss:4.5533, step:3040
2026-01-09 10:51:25,052 - INFO - train loss:4.5123, step:3050
2026-01-09 10:51:32,306 - INFO - train loss:4.4816, step:3060
2026-01-09 10:51:39,564 - INFO - train loss:4.4335, step:3070
2026-01-09 10:51:46,828 - INFO - train loss:4.6019, step:3080
2026-01-09 10:51:54,096 - INFO - train loss:4.5700, step:3090
2026-01-09 10:52:01,376 - INFO - train loss:4.3720, step:3100
2026-01-09 10:52:08,641 - INFO - train loss:4.4676, step:3110
2026-01-09 10:52:15,906 - INFO - train loss:4.3352, step:3120
2026-01-09 10:52:23,173 - INFO - train loss:4.5319, step:3130
2026-01-09 10:52:30,443 - INFO - train loss:4.5595, step:3140
2026-01-09 10:52:37,721 - INFO - train loss:4.5169, step:3150
2026-01-09 10:52:45,004 - INFO - train loss:4.4429, step:3160
2026-01-09 10:52:52,260 - INFO - train loss:4.6498, step:3170
2026-01-09 10:52:59,513 - INFO - train loss:4.4796, step:3180
2026-01-09 10:53:06,752 - INFO - train loss:4.4742, step:3190
2026-01-09 10:53:13,991 - INFO - train loss:4.4389, step:3200
2026-01-09 10:53:21,224 - INFO - train loss:4.4934, step:3210
2026-01-09 10:53:28,446 - INFO - train loss:4.4410, step:3220
